模型名称,运行选项,权重文件路径,阵元数,频点数,批次大小,训练周期,数据集路径,学习率,保存路径,保存文件名,运行时间,备注,训练误差-距离,训练误差-深度,测试平均准确度-距离,测试平均准确度-深度,测试平均误差-距离,测试平均误差-深度
mtl_cnn,train,-,6,151,32,50,E:/2.0_UWSL_Datasets/test,1e-3,E:/2.0_UWSL_Datasets/test,mtl_cnn_test_epoch_50.00,2025-02-07 13:54:02.217284,d100,0.460 km,0.603  m,83.0 %,90.7 %,0.813 km,2.120  m
mtl_unet,train,-,6,151,32,50,E:/2.0_UWSL_Datasets/test,1e-3,E:/2.0_UWSL_Datasets/test,mtl_unet_test_epoch_50.00,2025-02-07 13:55:48.091595,d100,0.353 km,0.337  m,87.7 %,89.4 %,0.766 km,2.272  m
mtl_unet_cbam,train,-,6,151,32,50,E:/2.0_UWSL_Datasets/test,1e-3,E:/2.0_UWSL_Datasets/test,mtl_unet_cbam_test_epoch_50.00,2025-02-07 13:57:28.823126,d100,0.401 km,0.285  m,83.2 %,88.4 %,0.768 km,2.502  m
xception,train,-,6,151,32,50,E:/2.0_UWSL_Datasets/test,1e-3,E:/2.0_UWSL_Datasets/test,xception_test_epoch_50.00,2025-02-07 13:59:34.321049,d100,0.345 km,0.698  m,86.3 %,89.3 %,0.785 km,3.058  m
mtl_cnn,train,-,10,151,32,50,E:/2.0_UWSL_Datasets/1200m,1e-3,E:/2.0_UWSL_Datasets/1200m,mtl_cnn_1200m_epoch_50.00,2025-02-08 18:49:14.167180,d1200,0.195 km,0.778  m,77.3 %,69.9 %,1.045 km,6.048  m
mtl_unet,train,-,10,151,32,50,E:/2.0_UWSL_Datasets/1200m,1e-3,E:/2.0_UWSL_Datasets/1200m,mtl_unet_1200m_epoch_50.00,2025-02-08 18:49:44.237236,d1200,0.159 km,0.733  m,83.8 %,80.7 %,0.737 km,3.236  m
mtl_unet_cbam,train,-,10,151,32,50,E:/2.0_UWSL_Datasets/1200m,1e-3,E:/2.0_UWSL_Datasets/1200m,mtl_unet_cbam_1200m_epoch_50.00,2025-02-08 18:50:05.161912,d1200,0.172 km,0.945  m,82.8 %,72.2 %,0.793 km,3.533  m
xception,train,-,10,151,32,50,E:/2.0_UWSL_Datasets/1200m,1e-3,E:/2.0_UWSL_Datasets/1200m,xception_1200m_epoch_50.00,2025-02-08 18:50:25.447641,d1200,0.198 km,0.818  m,84.3 %,71.9 %,0.785 km,3.446  m
mtl_cnn,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/2200m,1e-3,E:/2.0_UWSL_Datasets/2200m,mtl_cnn_2200m_epoch_50.00,2025-02-09 08:47:12.563411,d2200,0.677 km,0.920  m,80.7 %,69.8 %,3.421 km,7.710  m
mtl_unet,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/2200m,1e-3,E:/2.0_UWSL_Datasets/2200m,mtl_unet_2200m_epoch_50.00,2025-02-09 12:02:26.813284,d2200,0.702 km,1.381  m,82.4 %,71.6 %,3.584 km,5.685  m
mtl_unet_cbam,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/2200m,1e-3,E:/2.0_UWSL_Datasets/2200m,mtl_unet_cbam_2200m_epoch_50.00,2025-02-09 14:58:27.968796,d2200,0.617 km,1.266  m,82.0 %,72.5 %,3.913 km,4.815  m
xception,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/2200m,1e-3,E:/2.0_UWSL_Datasets/2200m,xception_2200m_epoch_50.00,2025-02-09 18:31:22.151742,d2200,0.697 km,1.034  m,85.5 %,76.3 %,2.394 km,5.048  m
mtl_cnn,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/3200m,1e-3,E:/2.0_UWSL_Datasets/3200m,mtl_cnn_3200m_epoch_50.00,2025-02-12 22:17:31.182308,d3200,1.493 km,1.257  m,59.3 %,52.0 %,20.377 km,7.387  m
mtl_unet,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/3200m,1e-3,E:/2.0_UWSL_Datasets/3200m,mtl_unet_3200m_epoch_50.00,2025-02-13 00:02:27.549943,d3200,1.320 km,1.736  m,72.2 %,54.9 %,6.586 km,8.394  m
mtl_unet_cbam,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/3200m,1e-3,E:/2.0_UWSL_Datasets/3200m,mtl_unet_cbam_3200m_epoch_50.00,2025-02-13 01:41:32.826449,d3200,1.883 km,1.792  m,67.3 %,46.4 %,10.451 km,9.899  m
xception,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/3200m,1e-3,E:/2.0_UWSL_Datasets/3200m,xception_3200m_epoch_50.00,2025-02-13 03:49:35.596722,d3200,1.363 km,1.206  m,75.0 %,68.1 %,6.763 km,8.474  m
mtl_cnn,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/4200m,1e-3,E:/2.0_UWSL_Datasets/4200m,mtl_cnn_4200m_epoch_50.00,2025-02-14 10:16:30.001760,d4200,2.337 km,1.423  m,69.7 %,53.0 %,16.251 km,7.038  m
mtl_unet,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/4200m,1e-3,E:/2.0_UWSL_Datasets/4200m,mtl_unet_4200m_epoch_50.00,2025-02-14 12:00:32.803864,d4200,4.089 km,1.737  m,67.8 %,64.2 %,14.557 km,7.173  m
mtl_unet_cbam,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/4200m,1e-3,E:/2.0_UWSL_Datasets/4200m,mtl_unet_cbam_4200m_epoch_50.00,2025-02-14 13:41:52.492001,d4200,3.923 km,1.990  m,69.5 %,63.5 %,18.840 km,6.806  m
xception,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/4200m,1e-3,E:/2.0_UWSL_Datasets/4200m,xception_4200m_epoch_50.00,2025-02-14 15:51:10.544488,d4200,3.610 km,1.264  m,61.1 %,66.3 %,15.855 km,5.905  m
mtl_cnn,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/5200m,1e-3,E:/2.0_UWSL_Datasets/5200m,mtl_cnn_5200m_epoch_50.00,2025-02-16 22:43:01.217414,d5200,2.471 km,11.946  m,68.0 %,47.1 %,19.452 km,33.303  m
mtl_unet,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/5200m,1e-3,E:/2.0_UWSL_Datasets/5200m,mtl_unet_5200m_epoch_50.00,2025-02-17 00:31:14.955910,d5200,3.627 km,19.368  m,56.0 %,42.8 %,20.253 km,39.668  m
mtl_unet_cbam,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/5200m,1e-3,E:/2.0_UWSL_Datasets/5200m,mtl_unet_cbam_5200m_epoch_50.00,2025-02-17 02:17:07.864130,d5200,3.171 km,20.446  m,67.4 %,48.2 %,19.623 km,42.536  m
xception,train,-,20,151,32,50,E:/2.0_UWSL_Datasets/5200m,1e-3,E:/2.0_UWSL_Datasets/5200m,xception_5200m_epoch_50.00,2025-02-17 04:30:12.104141,d5200,2.171 km,15.461  m,77.3 %,37.3 %,15.300 km,39.715  m
